Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68
Tracks 1 to 68
10,978.70514,23.089743, ,694.569,53.948277, ,802.43445,101.40164, ,1213.6515,149.62122, ,849.1731,156.88461, ,1226.8939,209.62122, ,1038.1562,250.125, ,680.5625,255.4375, ,712.61426,261.01428, ,542.4815,299.66666, ,568.9167,290.66666, ,1058.1364,289.07574, ,1328.4459,343.5811, ,298.4394,391.36365, ,917.7759,499.0862, ,534.4091,526.9545, ,309.5,534.2455, ,858.5,535.9643, ,874.3485,568.3788, ,1283.8871,591.24194, ,603.5,586.36536, ,796.1923,589.38464, ,889.9583,685.25, ,1078.5,721.38, ,898.4667,729.98334, ,961.2368,768.0263, ,895.4259,785.7593, ,1405.5588,812.12744, ,1022.4623,890.9151, ,837.4535,907.8488, ,1399.7954,952.5909, ,432.72726,1002.88635, ,291.14706,1003.05884, ,436.4091,573.75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,978.3461,25.782051, ,694.5357,54.82143, ,800.1957,102.659424, ,1220.3334,146.77777, ,849.1721,162.43443, ,1228.3125,207.15625, ,1032.1,251.96666, ,681.59375,255.6875, ,715.2273,255.65152, ,537.6964,302.5, ,566.9878,287.32925, ,1062.6333,289.56668, ,1325.2391,347.34784, ,295.6842,386.28946, ,913.8226,498.5, ,534.36957,527.413, ,310.36365,532.0682, ,856.0172,535.2931, ,877.13336,576.4, ,1281.0116,591.3372, ,604.5741,583.05554, ,797.87036,588.5, ,885.2833,682.35,*,1084.8846,722.7564, ,893.7364,726.0455, ,960.1667,767.6905, ,896.26,782.02, ,1402.7131,811.9262, ,1025.0555,888.1111, ,839.2727,913.2273, ,1399.7653,951.4796, ,431.5408,1001.68365, ,294.09375,1001.09375, ,437.1,573.47144, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,979.3108,26.95946, ,694.85486,53.79032, ,800.48737,98.71519, ,1226.0,145.58824, ,849.9035,162.55263, ,1221.0143,211.1, ,1032.8,249.06667, ,685.86365,257.71213, ,720.7381,254.21428, ,535.13635,300.68182, ,570.7727,286.5, ,1060.9166,286.75, ,1326.8829,337.5, ,294.21667,388.58334, ,911.40625,499.46875,*,534.45654,526.84784, ,311.625,530.1667, ,857.6667,539.26666, ,878.5,573.87933, ,1285.9615,586.14105, ,607.42,582.58, ,798.94,593.42, ,886.9915,681.6017, ,1087.0,724.0, ,897.1301,722.048, ,954.7174,764.8043, ,895.8913,783.76086, ,1404.0254,814.11017, ,1026.4269,885.1585, ,842.19446,910.1389, ,1402.6897,955.0862, ,434.05103,1000.4388, ,295.1279,997.1047, ,435.86584,569.64636, ,1354.8334,900.6852, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,981.8947,33.13158, ,694.5714,54.607143, ,803.95905,97.97541, ,1222.7858,144.5, ,847.5339,162.16101, ,1213.2354,205.5, ,1027.2097,249.66129, ,680.71875,253.46875, ,720.0769,247.76923, ,531.625,299.79166, ,573.10974,281.7927, ,1057.25,287.55, ,1331.1171,340.52127, ,298.67392,389.32608, ,918.18964,499.39655, ,534.2727,527.3182, ,311.625,531.6719, ,857.13336,541.86664, ,880.5714,571.8214, ,1282.527,585.7973, ,606.07776,583.8111, ,803.0,591.8929, ,888.5333,679.4,*,1088.9242,719.4697, ,898.9231,722.5128, ,953.18,761.3, ,897.2083,786.4167, ,1407.1066,810.84424, ,1027.0186,886.2778, ,843.0135,910.0135, ,1402.7444,953.07776, ,438.8846,1002.7308, ,299.4091,991.75, ,436.15714,573.2143, ,1346.1666,896.76666, ,230.14285,560.2143, ,401.875,1079.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,980.5732,34.69512, ,694.84485,53.844826, ,800.97144,95.65714, ,1218.8823,148.35294, ,848.7963,166.75926, ,1212.6428,208.61429, ,1018.0161,247.04839, ,679.15625,258.53125, ,724.6053,256.07895, ,529.8509,296.35965, ,571.05554,280.47223, ,1058.4474,286.71054, ,1326.3536,340.06097, ,294.11667,387.28333, ,920.3125,501.65625, ,534.5455,527.0909, ,311.01724,533.0517, ,859.9286,543.3214, ,875.84485,571.84485, ,1284.6904,585.0, ,602.2368,582.8158, ,806.8333,588.2778, ,887.53076,674.3615,*,1090.3536,717.0122, ,903.3,718.2882, ,949.1667,758.9167, ,897.6539,781.03845, ,1405.1666,813.5196, ,1024.0555,885.8778, ,843.52704,909.3108, ,1401.9,952.7364, ,438.39362,1004.6489, ,295.81818,990.2273, ,437.9634,576.4268, ,1345.6765,893.2353, ,236.96153,564.3461, ,405.15518,1078.0172, ,384.9516,135.62903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,979.4535,31.5, ,694.63794,53.844826, ,793.6923,94.47436, ,1215.7903,144.62903, ,852.0263,167.2193, ,1217.0,205.9375, ,1018.08826,244.97058, ,676.86664,261.9, ,727.5,259.0, ,527.85614,298.3767, ,568.1857,277.32858, ,1056.2858,291.67856, ,1327.4889,343.44446, ,295.25308,384.68518, ,924.3125,501.65625, ,534.5476,526.5476, ,312.1613,536.1613, ,853.8,540.13336, ,879.7,573.5, ,1288.2028,579.7432, ,597.7292,583.1042, ,806.0926,591.6852, ,889.6698,673.06604, ,1093.0714,710.6905, ,901.5968,719.5968, ,945.8913,761.2826, ,897.2407,778.4259, ,1402.0902,810.90985, ,1019.4783,878.76086, ,838.64813,908.7593, ,1401.6968,952.0574, ,436.41666,1009.0, ,292.90625,985.375, ,435.52856,572.8143, ,1346.6538,888.96155, ,241.32353,559.67645, ,407.45557,1076.7, ,386.16666,138.13637, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,976.89026,28.353659, ,694.4286,53.964287, ,796.8333,98.38, ,1220.7122,142.71213, ,850.51666,170.71666, ,1218.0294,206.35294, ,1018.8143,249.67143, ,679.2037,268.2037, ,728.14703,265.2647, ,529.34,301.88, ,568.5625,277.78125, ,1057.75,288.45, ,1323.0161,345.3387, ,297.80768,383.97693, ,927.07574,508.4697, ,534.2727,527.3182, ,314.65714,535.47144, ,856.0714,540.3214, ,882.5,571.5, ,1287.8448,581.5, ,596.1,579.78, ,801.3077,588.9231, ,892.0263,669.2368, ,1093.8158,710.5, ,898.67645,719.6177, ,945.7,764.94, ,902.54,778.74, ,1401.5698,805.3837, ,1024.3108,880.63513, ,843.4394,906.5606, ,1405.9375,951.9375, ,435.35965,1011.5702, ,292.15714,986.38574, ,433.98718,573.4231, ,1342.629,892.1129, ,244.20589,561.7353, ,409.27142,1077.0714, ,394.08066,133.66129, ,907.0942,14.036232, ,1129.3966,527.569, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,979.425,23.525, ,694.7222,53.907406, ,794.2558,95.98837, ,1221.9572,145.3, ,847.2321,175.96428, ,1220.7,202.58571, ,1019.30554,247.94444, ,678.85486,268.7903, ,725.2143,266.0, ,527.9681,298.98935, ,566.1111,276.3611, ,1053.3636,280.95456, ,1326.0454,343.95456, ,298.34848,378.45456, ,925.84485,510.7414, ,534.25,526.55, ,311.94232,534.2308, ,858.9074,538.4259, ,886.5714,571.6071, ,1289.8489,582.3605, ,593.0472,575.93396, ,799.0,587.0, ,887.5208,666.5417, ,1090.8704,713.1111, ,897.6235,721.94446, ,945.0,761.0, ,903.875,773.7083, ,1403.3,806.82, ,1027.9426,879.3525, ,842.5789,906.1053, ,1404.9706,951.5784, ,433.31668,1006.7167, ,301.7857,985.0714, ,440.8793,572.2241, ,1339.5435,888.1957, ,244.61765,561.08826, ,409.7143,1073.75, ,403.84375,133.875, ,904.325,15.025, ,1128.7142,523.5357, ,269.83334,732.625, ,673.5323,1004.4032, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,984.4804,30.833334, ,694.6539,54.03846, ,798.8158,96.75, ,1217.591,150.5, ,845.3393,177.375, ,1219.2106,201.76315, ,1018.80554,248.69444, ,677.36206,270.4655, ,727.5,264.72223, ,533.6778,306.76666, ,565.7,277.12857, ,1056.2142,284.9762, ,1322.08,341.14, ,300.52667,379.32666, ,929.1667,513.56665, ,534.5,526.881, ,313.51514,536.3182, ,860.3148,543.53705, ,884.8929,570.75, ,1290.6212,584.2273, ,596.42,574.06, ,795.94446,584.7963, ,889.2143,666.3393, ,1091.9359,716.3205, ,898.07745,723.5, ,938.53845,755.2692, ,901.58,773.94, ,1407.7307,811.4231, ,1022.7586,879.2931, ,839.0854,906.3049, ,1408.5,950.0769, ,433.75925,1004.5741, ,304.85,991.725, ,441.62195,569.9878, ,1343.7759,881.84485, ,250.33333,558.2222, ,412.1491,1074.1316, ,406.74243,139.25757, ,901.0309,14.240741, ,1131.1897,524.9483, ,270.15,733.7, ,668.86,1001.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,988.0,30.865385, ,694.9138,54.25862, ,798.6111,94.21605, ,1217.5834,149.5, ,847.4074,180.51852, ,1220.2715,198.7, ,1025.1177,249.35294, ,670.80304,265.5, ,723.6429,264.57144, ,534.3772,311.307, ,563.41174,276.2353, ,1054.0161,283.5, ,1320.4286,344.875, ,297.75974,374.56494, ,924.5357,513.3929, ,534.4048,527.0714, ,313.67743,537.35486, ,864.75806,540.8871, ,889.4259,573.9074, ,1293.6842,582.7632, ,602.0417,570.3542, ,796.11536,587.3461, ,888.68646,663.5847, ,1088.7084,713.2917, ,901.42755,729.6449, ,934.0769,756.61536, ,899.46,778.54, ,1405.6364,815.63635, ,1024.4412,879.67645, ,839.8889,911.6389, ,1408.0227,952.5909, ,436.83334,1000.8333, ,301.32858,992.47144, ,437.525,566.575, ,1346.2307,885.5, ,247.38235,561.91174, ,416.6091,1076.3182, ,404.83334,134.73334, ,904.439,11.841463, ,1134.8077,523.9231, ,268.62,728.94, ,666.6852,996.05554, ,471.68182,214.31818, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
