Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42
Tracks 1 to 42
10,795.6,88.55, ,107.0,95.5, ,1257.5,100.98, ,1438.0834,104.25, ,685.0686,101.28432, ,1397.7307,182.1923, ,421.0,177.1842, ,1160.8334,206.16667, ,1053.4269,256.47562, ,1145.242,308.75806, ,1014.58826,312.47058, ,564.7,547.3333, ,353.9,557.9889, ,1028.2847,757.2846, ,795.3889,753.64813, ,1152.2273,914.8182, ,772.17645,244.14706, ,475.39655,460.63794, ,667.1667,200.83333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,797.3889,87.77778, ,106.86364,94.681816, ,1257.6818,100.59091, ,1438.1666,103.611115, ,688.2143,101.59524, ,1391.1957,175.28261, ,427.04053,181.28378, ,1161.1666,205.94444, ,1046.8889,254.63889, ,1143.0186,312.16666, ,1013.1667,318.22223, ,566.5,543.5, ,354.52438,555.6951, ,1025.6406,755.1875, ,799.9,751.2, ,1154.5,915.46295, ,771.22095,242.54651, ,478.0926,458.42593, ,666.625,199.125, ,852.35297,248.26471, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,796.43335,88.3, ,106.5,95.5, ,1256.2241,100.74138, ,1438.3889,104.27778, ,690.2838,101.33784, ,1388.9,178.3, ,426.44116,182.26471, ,1160.8846,206.26923, ,1047.4736,249.47368, ,1141.6666,307.56668, ,1010.32355,314.61765, ,568.0333,538.8, ,348.07446,556.94684, ,1029.839,756.4322, ,799.7273,749.7727, ,1155.2778,918.5741, ,772.2143,243.42857, ,477.07144,455.32144, ,666.8333,198.75, ,856.2778,248.05556, ,1030.1,365.15714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,796.55554,88.44444, ,106.5,95.5, ,1257.18,100.66, ,1438.0454,103.681816, ,685.1445,103.12222, ,1387.1875,181.875, ,428.19446,183.77777, ,1161.1666,206.05556, ,1047.625,244.15, ,1140.4117,311.97058, ,1012.1389,314.8889, ,570.4259,538.05554, ,348.17392,562.4783, ,1036.15,752.2167, ,802.5833,748.5833, ,1148.5,919.0, ,772.25,244.0, ,485.77585,450.56897, ,666.4167,199.16667, ,850.5278,251.61111, ,1027.5,362.1216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,796.32355,88.55882,*,106.7,95.5, ,1257.3695,100.45652, ,1438.125,103.75, ,681.3837,104.75581, ,1387.6818,178.77272, ,428.92856,174.41429, ,1161.375,206.375, ,1043.6395,240.26744, ,1137.5,309.875, ,1014.9706,315.2647, ,568.8871,537.5645, ,346.03488,558.56976, ,1035.6957,751.56525, ,809.6818,746.1818, ,1151.5714,922.6071, ,772.0769,242.65384, ,479.13333,443.86667, ,666.86365,198.22728, ,848.77026,254.36487, ,1025.8334,359.8889, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,796.1667,88.76667,*,106.7,95.5, ,1256.5358,100.96429, ,1438.0834,104.25, ,679.9792,105.583336, ,1383.4231,177.26923, ,428.8611,171.25, ,1161.0,207.0, ,1046.9872,242.26923, ,1144.1708,305.43903,*,1014.8939,317.98486, ,569.79034,536.371, ,340.05264,556.6053, ,1034.822,756.7373, ,808.85297,738.32355, ,1150.6482,921.6852, ,772.5222,243.12222, ,481.62903,444.62903, ,665.75,198.5, ,847.45,257.125, ,1022.12164,358.25674, ,441.38235,514.08826, ,480.92856,606.3214,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,796.875,87.875, ,106.5,94.833336, ,1257.5,100.804344, ,1438.1666,103.611115, ,681.4545,108.181816, ,1390.7142,176.5, ,432.05554,169.36111, ,1161.1364,206.59091, ,1047.9166,243.44444, ,1150.803,302.31818, ,1010.7727,310.13635, ,566.3,537.93335, ,337.5,560.5, ,1038.1615,756.5923, ,812.9483,736.15515, ,1158.9546,917.5909, ,772.58,243.3, ,483.13333,447.13333, ,666.5,198.91667, ,843.7973,256.5, ,1021.0278,354.66666, ,442.22223,515.8889, ,475.81033,613.2931, ,1306.9117,1012.2647, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,796.36664,88.9, ,106.375,95.375, ,1256.8462,100.5, ,1438.0,103.5, ,683.68604,107.26744, ,1388.65,176.9, ,437.64285,173.5, ,1161.1364,206.13637, ,1047.5,243.0, ,1151.5,297.7647, ,1019.1875,305.03125, ,564.125,534.65625, ,337.9222,563.8333, ,1035.9464,757.8214, ,810.6786,738.2857, ,1156.82,922.06, ,772.22095,242.43024, ,484.56897,448.05173, ,666.8,198.1, ,846.2027,251.77026, ,1017.8333,346.14102, ,443.2143,515.0, ,477.3889,614.7222, ,1301.2646,1015.7353, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,796.7,88.23333,*,106.611115,95.388885, ,1256.7122,100.86364, ,1438.3,104.1, ,690.95654,107.36957, ,1397.3422,173.97368, ,438.2647,173.70589, ,1161.1,206.2, ,1051.1666,241.98718, ,1146.9242,296.68182, ,1017.79034,296.98386, ,564.75806,535.4355, ,336.32608,565.0, ,1034.9286,756.51587, ,810.6786,736.2857, ,1157.4375,918.75, ,772.1579,242.52632, ,484.8,449.76666, ,665.9375,199.75, ,844.37805,242.42683, ,1011.41895,345.4189, ,443.875,513.8333, ,475.13333,613.86664, ,1296.6177,1012.91174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,796.6667,88.75, ,106.833336,95.166664, ,1256.5,100.066666, ,1438.1666,103.611115, ,694.92554,107.26596, ,1400.2693,172.65384, ,437.47223,170.19444, ,1161.2142,206.35715, ,1049.4474,243.89473, ,1146.5,291.91177, ,1019.13635,301.16666, ,565.7759,530.63794, ,338.74,564.92, ,1033.0522,752.9627, ,811.4655,734.2931, ,1156.8572,916.6429, ,771.66394,242.31967, ,482.9643,449.5, ,667.3571,198.21428, ,845.619,248.16667, ,1014.8684,344.28946, ,446.77274,512.63635, ,478.35184,616.35187, ,1297.0,1005.2778, ,977.0645,410.9355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
