Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
10,452.69672,103.94262, ,1063.9,144.43333, ,1145.06,181.66, ,1063.4556,219.9, ,1225.3235,258.79413, ,567.0972,291.9861, ,1094.5769,301.03845, ,432.76086,370.18115, ,1210.7838,402.36487, ,1116.6538,478.78204, ,1344.5,514.1842, ,759.119,510.07144, ,788.725,558.075, ,863.0417,542.8333, ,1042.5919,677.5575, ,478.7353,654.3823, ,654.2561,670.2805, ,668.73865,793.38635, ,735.525,812.05, ,1209.7106,815.5, ,659.36664,931.86664, ,979.5857,984.4143, ,841.21875,239.9375, ,559.1,119.75, ,1105.6316,768.6579, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,451.0,102.72414,*,1062.3572,146.69048,*,1147.2037,178.53703, ,1063.1666,218.78572, ,1224.7632,255.05263, ,566.2288,292.05933, ,1091.6,301.3, ,436.51724,371.0862, ,1213.3334,403.48486, ,1120.9324,477.44595, ,1344.0264,513.2368, ,764.3409,510.18182, ,788.6951,554.9146, ,864.1892,541.52704, ,1036.9773,670.5795, ,474.98572,653.7857, ,654.2381,672.4286, ,662.43695,791.1126, ,739.11536,811.9359, ,1207.9534,816.9133, ,664.7584,931.6685, ,979.1177,978.08826, ,842.54346,242.23914, ,557.5333,121.066666, ,1102.5435,769.45654, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,450.32224,103.87778,*,1063.5667,143.48889,*,1148.8928,175.17857, ,1062.18,217.62, ,1223.4375,257.78125, ,569.1667,290.67648, ,1091.0333,306.4, ,435.46295,371.72223, ,1215.48,405.24, ,1118.9762,472.0238, ,1346.6666,509.0, ,759.8333,508.95834, ,789.94183,558.8721, ,864.7174,543.2174, ,1037.7646,669.2206, ,474.06412,656.4231, ,653.6429,671.5476, ,665.9,790.5857, ,736.35297,819.08826, ,1208.1,814.1125, ,664.12964,931.2037, ,980.0055,979.04944, ,844.3889,243.72223, ,553.9828,121.77586, ,1106.6666,770.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,453.41763,102.26471,*,1065.5394,142.28947, ,1151.0,180.5, ,1062.0555,218.33333,*,1226.7241,259.94827, ,572.9545,290.57956, ,1091.638,305.0862, ,429.35715,369.9762, ,1214.7931,405.44827, ,1122.2142,474.07144, ,1343.7778,508.05554, ,762.3222,504.1, ,787.8333,558.619, ,862.7174,541.0942, ,1040.0374,672.88806, ,479.06412,663.5513, ,648.9889,671.6556, ,670.5632,789.96313, ,732.9091,816.5682, ,1205.5,811.6829, ,667.0065,932.9026, ,977.36365,979.24243, ,839.7143,249.80952, ,557.0,122.0, ,1107.3214,770.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,453.2966,103.58475, ,1068.5116,139.08139, ,1149.9814,183.09259, ,1062.1923,219.24359,*,1223.1522,267.73914, ,569.4865,290.78378, ,1091.3529,303.14706, ,428.97272,370.79092, ,1219.1666,408.55127, ,1123.1976,478.66278, ,1344.1316,512.9737, ,764.6042,503.02084, ,795.8571,558.8333, ,860.0614,544.307, ,1041.5146,676.0294, ,477.8243,661.12164, ,651.593,670.68604, ,667.6205,790.7771, ,739.2105,817.3158, ,1204.3429,813.67145, ,666.6923,936.35895, ,979.8582,977.48505, ,839.1585,246.30487, ,554.3125,123.21875, ,1106.5337,771.118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,457.12857,103.2, ,1069.4103,139.83333, ,1156.0,185.06667, ,1063.3636,219.65909, ,1221.4215,266.59805, ,570.8721,296.10464, ,1088.25,298.91666, ,430.8243,368.8784, ,1218.6754,406.99124, ,1121.2073,477.5, ,1345.119,514.6429, ,765.587,502.02173, ,796.5,563.92224, ,861.5,544.7826, ,1039.1825,673.99207, ,474.62195,662.5244, ,646.0682,665.9545, ,666.59436,791.8302, ,742.20734,810.6951, ,1200.952,812.03424, ,664.34,936.4067, ,979.913,976.6413, ,837.0,246.5, ,553.7353,124.94118, ,1103.3679,767.26416, ,949.6111,394.77777, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,453.27658,97.95744, ,1070.3182,136.57954, ,1159.1072,182.39285, ,1062.8112,219.14444, ,1225.1471,265.70587, ,572.48334,291.35, ,1087.5,304.1, ,427.06522,370.23914,*,1221.9084,403.37323, ,1122.3292,474.59756, ,1346.0238,515.4524, ,763.5816,502.62244, ,797.4545,562.5, ,857.6486,542.6892, ,1037.3116,671.48553, ,474.93903,668.939, ,646.9737,667.2368, ,666.2934,792.062, ,737.85,803.975, ,1202.8273,816.42725, ,663.8239,934.72534, ,977.5862,974.68964, ,836.1,248.5, ,553.0926,124.12963, ,1102.3469,764.33673, ,944.17566,397.1757, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,452.6125,96.1, ,1072.2646,138.58824, ,1163.7325,176.54651, ,1062.0,218.0, ,1226.4688,267.25, ,568.7353,293.82352, ,1085.2742,304.9516, ,429.33334,368.44446,*,1225.2959,405.56122, ,1119.0641,473.42307, ,1350.0555,519.05554, ,758.4375,498.29166, ,799.7727,564.2273, ,859.39746,547.37177, ,1032.8627,669.37915, ,471.62195,672.59753, ,647.9474,667.3684, ,665.97705,791.55505, ,740.07776,798.54443, ,1202.5193,814.88464, ,668.0854,934.1585, ,979.0128,970.3461, ,839.5,254.7439, ,551.2143,128.96428, ,1102.8125,770.0781, ,942.05316,394.79788, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,452.34525,100.42857, ,1069.4073,139.2037, ,1161.2059,176.55882, ,1062.0416,218.125,*,1221.5197,269.97058, ,568.52325,291.7093, ,1085.4333,308.56668, ,433.375,367.5625,*,1226.9902,410.08823, ,1118.6464,467.7195, ,1346.7,522.05, ,761.7245,501.90817, ,799.7,561.41113, ,857.2439,546.2683, ,1031.2931,670.33905, ,470.91025,668.52563, ,643.3,665.575, ,669.63727,795.86273, ,744.7889,797.9, ,1202.4589,820.5548, ,663.6395,930.43024, ,978.7353,968.60925, ,838.5833,250.58333, ,555.2059,124.76471, ,1098.5,772.1667, ,944.1,389.59232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,452.73965,99.18595, ,1067.7759,135.04024, ,1159.7759,176.98276, ,1063.1129,219.17741,*,1224.4302,270.7093, ,566.425,288.0, ,1087.5,305.5, ,435.17926,365.23584,*,1226.0964,408.8684, ,1114.3445,466.94446, ,1347.45,521.75, ,763.08,501.56, ,806.65216,564.56525, ,857.7656,550.7656, ,1030.1405,672.80334, ,467.52563,673.3461, ,643.05,666.75, ,670.4916,792.96216, ,745.9783,801.0, ,1200.6571,819.3143, ,665.4722,934.44446, ,976.47437,965.1496, ,831.5278,253.11111, ,561.14514,124.01613, ,1099.1976,771.6163, ,944.4259,395.45062, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
