Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60
Tracks 1 to 60
10,1145.06,181.66, ,1094.5769,301.03845, ,1210.7838,402.36487, ,1344.5,514.1842, ,759.119,510.07144, ,788.725,558.075, ,478.7353,654.3823, ,654.2561,670.2805, ,735.525,812.05, ,841.21875,239.9375, ,559.1,119.75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,1147.2037,178.53703, ,1091.6,301.3, ,1213.3334,403.48486, ,1344.0264,513.2368, ,764.3409,510.18182, ,788.6951,554.9146, ,474.98572,653.7857, ,654.2381,672.4286, ,739.11536,811.9359, ,842.54346,242.23914, ,557.5333,121.066666, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,1148.8928,175.17857, ,1091.0333,306.4, ,1215.48,405.24, ,1346.6666,509.0, ,759.8333,508.95834, ,789.94183,558.8721, ,474.06412,656.4231, ,653.6429,671.5476, ,736.35297,819.08826, ,844.3889,243.72223, ,553.9828,121.77586, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,1151.0,180.5, ,1091.638,305.0862, ,1214.7931,405.44827, ,1343.7778,508.05554, ,762.3222,504.1, ,787.8333,558.619, ,479.06412,663.5513, ,648.9889,671.6556, ,732.9091,816.5682, ,839.7143,249.80952, ,557.0,122.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,1149.9814,183.09259, ,1091.3529,303.14706, ,1219.1666,408.55127, ,1344.1316,512.9737, ,764.6042,503.02084, ,795.8571,558.8333, ,477.8243,661.12164, ,651.593,670.68604, ,739.2105,817.3158, ,839.1585,246.30487, ,554.3125,123.21875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,1156.0,185.06667, ,1088.25,298.91666, ,1218.6754,406.99124, ,1345.119,514.6429, ,765.587,502.02173, ,796.5,563.92224, ,474.62195,662.5244, ,646.0682,665.9545, ,742.20734,810.6951, ,837.0,246.5, ,553.7353,124.94118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,1159.1072,182.39285, ,1087.5,304.1, ,1221.9084,403.37323, ,1346.0238,515.4524, ,763.5816,502.62244, ,797.4545,562.5, ,474.93903,668.939, ,646.9737,667.2368, ,737.85,803.975, ,836.1,248.5, ,553.0926,124.12963, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,1163.7325,176.54651, ,1085.2742,304.9516, ,1225.2959,405.56122, ,1350.0555,519.05554, ,758.4375,498.29166, ,799.7727,564.2273, ,471.62195,672.59753, ,647.9474,667.3684, ,740.07776,798.54443, ,839.5,254.7439, ,551.2143,128.96428, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,1161.2059,176.55882, ,1085.4333,308.56668, ,1226.9902,410.08823, ,1346.7,522.05, ,761.7245,501.90817, ,799.7,561.41113, ,470.91025,668.52563, ,643.3,665.575, ,744.7889,797.9, ,838.5833,250.58333, ,555.2059,124.76471, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,1159.7759,176.98276, ,1087.5,305.5, ,1226.0964,408.8684, ,1347.45,521.75, ,763.08,501.56, ,806.65216,564.56525, ,467.52563,673.3461, ,643.05,666.75, ,745.9783,801.0, ,831.5278,253.11111, ,561.14514,124.01613, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
