Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64
Tracks 1 to 64
10,479.96667,141.83333, ,489.66666,153.08333, ,1332.7258,255.8871, ,1117.0,274.5, ,773.6579,404.3421, ,686.9211,421.6579, ,899.11536,665.11536, ,1138.409,673.5455, ,703.11536,614.11536, ,1159.119,623.0714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,484.96667,145.83333,*,491.65384,159.03847, ,1337.7727,253.0, ,1114.7858,274.0, ,773.7778,405.3889, ,688.9359,424.34616, ,901.5,670.5, ,1135.5741,671.9074, ,707.0,612.7857, ,1158.0454,625.0455, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,483.96667,142.83333, ,500.85715,161.71428, ,1338.75,253.16667, ,1115.875,273.25, ,772.125,412.0625, ,689.8421,421.05264, ,907.0,665.0, ,1135.0,670.0, ,701.11536,614.88464, ,1155.6578,625.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,483.8125,142.4375, ,502.5909,169.86363, ,1338.6794,255.6282, ,1116.9,273.56668, ,773.0,410.0, ,691.3,418.16666, ,913.88464,665.88464, ,1138.05,667.65, ,705.3182,612.3182, ,1156.4584,621.7917, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,481.44446,136.61111, ,506.16666,170.7, ,1341.9688,250.71875, ,1115.6538,269.96155, ,773.6,413.45, ,688.85297,419.35294, ,914.88464,665.11536, ,1134.375,667.5, ,701.6818,613.3182, ,1154.0714,623.119, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,483.73077,142.73077, ,503.96667,170.36667, ,1340.6515,250.34848, ,1116.375,277.125, ,772.91174,417.38235, ,682.75806,416.14517, ,910.0,660.2143, ,1133.0714,666.9286, ,706.0,608.2143, ,1153.4412,625.32355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,485.03333,148.16667, ,500.5,171.0, ,1343.1666,245.9, ,1122.0,277.5, ,770.0,420.0, ,679.4524,414.3095, ,901.3333,662.5, ,1132.7174,670.36957, ,708.88464,609.11536, ,1153.5385,629.61536, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,487.85715,148.71428, ,503.5,174.5, ,1341.7424,244.40909, ,1124.7858,277.0, ,772.6,412.45, ,682.0862,420.43103, ,902.88464,663.11536, ,1133.1086,670.413, ,709.6539,611.96155, ,1148.4584,629.7917, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,490.375,144.4375, ,498.5,178.66667, ,1343.25,244.08333, ,1122.5,274.14706, ,773.5,416.5, ,680.8182,417.63635, ,897.9286,667.2857, ,1135.6177,667.3823, ,712.2143,613.0, ,1151.5,627.5, ,948.15,156.85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,492.0,139.5, ,500.5909,180.86363, ,1339.1552,246.63792, ,1123.625,275.1875, ,767.55554,413.27777, ,679.7222,421.05554, ,895.6539,661.96155, ,1138.5,664.5, ,710.3182,616.6818, ,1152.3,626.63336, ,948.4,159.45, ,926.0,259.27777, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,496.7353,137.73529, ,498.92856,178.21428, ,1332.5256,244.83333, ,1124.5,281.19232, ,768.0789,416.39474, ,680.78125,418.21875, ,895.4091,666.13635, ,1133.2407,664.9074, ,709.0,619.0, ,1152.1,631.0333, ,950.1111,159.05556, ,929.5,259.85294, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,499.1,137.9, ,498.1,176.9, ,1333.0625,239.625, ,1126.0,281.5, ,772.1111,417.83334, ,682.0161,420.46774, ,897.6539,663.96155, ,1136.125,666.4583, ,706.3,615.5, ,1152.58,631.34, ,951.1842,160.6579, ,931.5,258.14706, ,1011.1842,89.6579, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,503.9,140.1, ,497.7857,175.0, ,1333.8889,243.22223, ,1126.0883,280.61765, ,777.8333,419.5, ,679.5606,423.13635, ,893.0,666.7857, ,1137.2059,672.7353, ,707.6818,608.6818, ,1159.6177,628.91174, ,949.0789,161.39473, ,931.6579,260.6579, ,1012.9286,88.11905, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,507.22223,137.61111, ,495.5,172.16667, ,1330.9865,237.25676, ,1122.9375,273.75, ,781.6,421.45, ,678.5,428.31082, ,893.11536,671.11536, ,1141.1364,670.1818, ,707.6818,606.6818, ,1160.591,630.5909, ,951.7,155.65, ,931.2778,258.0, ,1004.0,85.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,505.0625,137.75, ,495.5,178.5, ,1325.6471,235.5, ,1127.3667,269.96667, ,783.0,424.27777, ,677.5645,427.2097, ,897.03845,676.6539, ,1140.5555,663.7778, ,707.11536,608.11536, ,1158.2826,628.0217, ,958.9286,153.88095, ,930.6111,260.77777, ,1004.6,86.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,508.85294,128.97058, ,496.3125,182.3125, ,1321.9193,235.98387, ,1131.5,264.14706, ,786.0294,426.14706, ,671.6071,425.4643, ,898.6667,673.5, ,1138.9615,662.8461, ,702.86365,606.4091, ,1157.7222,631.6111, ,959.0,156.0, ,930.6177,258.91177, ,1002.7,88.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,511.38235,123.088234, ,502.23334,181.43333, ,1322.9474,242.73685, ,1135.0,258.5, ,783.1111,429.77777, ,669.0,424.0, ,896.0,672.0, ,1135.6,660.1, ,701.88464,609.11536, ,1155.9286,631.0714, ,954.7353,155.02942, ,929.5,262.5, ,1002.0,88.0, ,938.75806,542.3387, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,515.7353,126.20588, ,507.5,179.5, ,1324.3966,243.32759, ,1135.0883,258.61765, ,787.91174,432.38235, ,673.1857,425.3857, ,899.96155,674.6539, ,1140.2142,660.9286, ,704.0,612.0, ,1164.1364,631.8182, ,955.0,147.27777, ,935.14703,263.97058, ,998.6,84.55, ,944.2826,545.413, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,516.1,129.9, ,505.8846,178.88461, ,1328.591,244.80302, ,1134.2142,257.0, ,782.08826,430.61765, ,674.3611,423.8889, ,903.1667,672.25, ,1136.6578,663.6579, ,706.0,609.3, ,1165.7609,630.6739, ,953.5,145.66667, ,936.0,257.27777, ,999.45654,88.76087, ,945.64703,539.44116, ,779.3889,373.77777, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,515.7143,133.14285, ,499.2143,183.0, ,1331.7903,247.04839, ,1137.5,254.5, ,780.375,430.8125, ,673.0862,421.22415, ,907.3461,673.4231, ,1139.4062,661.46875, ,707.88464,613.11536, ,1167.3846,630.1539, ,961.4,144.45, ,938.14703,258.97058, ,994.0,88.5, ,943.5645,538.24194, ,777.5,371.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,511.8125,132.375, ,496.0,183.5, ,1333.0151,247.86363, ,1133.6538,253.96153, ,783.7,433.36667, ,678.14703,421.7647, ,906.36664,671.9667, ,1141.0927,660.6852, ,711.0,611.5, ,1170.5741,631.94446, ,963.8333,144.5, ,935.3421,261.55264, ,995.1,88.25, ,942.15717,542.67145, ,776.14703,367.02942, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,511.96667,134.36667, ,499.0,179.78572, ,1330.125,250.21875, ,1134.591,256.13635, ,786.0625,429.75, ,676.5,419.73077, ,904.03845,666.3461, ,1139.2,660.95, ,713.8333,610.25, ,1174.3334,634.9583, ,967.63635,143.04546, ,936.08826,264.61765, ,1000.8889,84.22222, ,941.75714,539.52856, ,780.25,363.875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,513.875,140.25, ,499.08823,177.61765, ,1325.8784,252.7973, ,1137.4166,259.33334, ,785.1111,431.77777, ,674.8158,422.23685, ,906.11536,664.88464, ,1140.5869,659.8913, ,716.7,612.5, ,1176.079,635.6053, ,967.0,145.0, ,938.3421,265.6579, ,1008.5,82.5, ,939.9722,545.5278, ,780.5,366.0, ,877.36664,265.96667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,516.7353,141.26471, ,499.9375,175.25, ,1321.3966,254.32759, ,1137.3462,255.96153, ,787.91174,432.38235, ,671.65625,420.78125, ,908.3,659.5, ,1142.8846,659.11536, ,712.2857,613.8571, ,1174.4546,631.9091, ,962.5952,146.92857, ,940.6579,263.6579, ,1012.1818,84.86364, ,936.0806,542.1774, ,774.75,369.875, ,884.91174,269.61765, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,516.6177,143.91176, ,494.0,172.5, ,1318.0758,252.07576, ,1143.1875,255.5625, ,792.625,429.125, ,673.75,420.6875, ,911.11536,658.11536, ,1143.78,663.42, ,711.13635,609.5909, ,1175.881,627.9286, ,964.45,144.6, ,944.91174,265.38235, ,1015.5952,88.690475, ,939.7143,536.7381, ,782.85297,364.5, ,880.9667,269.63333, ,1134.0,90.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,514.3823,144.08824, ,489.5,176.0, ,1319.8846,251.03847, ,1142.6111,257.44446, ,798.1,429.9, ,672.92426,416.4394, ,912.2857,659.1429, ,1146.625,665.1667, ,707.11536,613.88464, ,1177.2894,630.5526, ,969.3095,149.35715, ,944.1316,263.23685,*,1018.4048,92.309525, ,942.2727,540.7273, ,785.6177,370.91177, ,883.2692,268.65384, ,1128.5667,90.166664, ,917.25,106.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,510.25,152.0625, ,488.5,172.14706, ,1322.8112,251.41112, ,1149.0883,260.38235, ,793.875,428.75, ,674.4143,415.44287, ,913.7857,662.0, ,1146.7727,665.0, ,705.7,611.5, ,1177.5476,628.6905, ,970.3947,142.92105, ,949.875,265.75,*,1025.7,85.65, ,945.9,545.86664, ,782.8125,374.625, ,885.5,270.80768, ,1131.5,93.80769, ,915.8684,105.97369, ,728.5857,321.95715, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,508.19232,155.5, ,491.0,174.78572, ,1325.4333,251.33333, ,1150.9,259.9, ,799.44446,426.6111, ,675.5,413.9, ,915.6539,663.2692, ,1147.591,667.13635, ,707.8333,612.25, ,1173.6428,629.3571, ,974.5,139.34616, ,941.4,264.45,*,1018.5,85.5, ,947.65625,542.3125, ,783.14703,370.97058, ,892.08826,271.61765, ,1137.0264,96.86842, ,920.1316,102.710526, ,728.0,319.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,507.9,157.9, ,493.1154,175.11539, ,1325.5,249.32857, ,1147.0,263.0, ,800.08826,419.61765, ,672.4091,418.5303, ,912.7143,668.1429, ,1146.5667,663.7, ,711.13635,610.4091, ,1171.4565,622.1087, ,973.2778,139.0, ,947.6579,266.3421, ,1014.9211,84.60526, ,952.1875,547.1875, ,783.9667,376.36667, ,893.91174,275.38235, ,1135.921,101.92105, ,923.6,98.2, ,728.0,322.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,503.61765,152.91176, ,494.5,176.0, ,1325.591,248.43939, ,1150.4445,267.27777, ,800.3823,417.91177, ,670.65625,418.78125, ,913.11536,669.88464, ,1149.1111,660.7222, ,719.1667,611.25, ,1177.0,619.0, ,970.5,136.71053, ,943.2222,269.3889, ,1016.4,83.45, ,948.98,544.86, ,783.14703,377.5, ,894.8333,277.5, ,1135.0264,102.86842, ,922.55,102.6, ,724.9483,327.77585, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,502.16666,155.76666, ,496.5,176.0, ,1327.3823,247.67647, ,1152.0,265.5, ,804.9737,421.1316, ,677.775,419.575, ,915.88464,666.88464, ,1148.7916,660.5417, ,717.11536,610.88464, ,1181.125,618.0625, ,971.9286,136.30952, ,946.5,269.71054, ,1015.2143,83.11905, ,951.1667,544.44446, ,781.7353,377.2647, ,897.1667,286.5, ,1141.0,102.0, ,926.6177,102.088234, ,725.15625,330.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
