Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
10,532.1739,27.826086, ,896.6163,6.0116277, ,664.35065,48.11039, ,453.28833,102.441605, ,559.96875,117.5, ,1059.9323,145.29662, ,1064.6382,217.74342, ,348.89725,229.65068, ,568.2,290.29092, ,1095.1852,299.72223, ,1257.5286,332.07144, ,431.97156,369.1179, ,1020.0578,380.15308, ,1211.5728,401.17273, ,457.75583,437.31396, ,1117.4844,477.23438, ,275.36047,469.56976, ,621.8521,507.92255, ,1345.85,512.575, ,759.8288,508.43152, ,863.6772,541.68353, ,369.625,612.3958, ,1042.836,677.236, ,318.2143,678.1667, ,478.7549,652.77454, ,654.2353,669.55884, ,1106.5282,766.4507, ,668.0903,792.68054, ,735.6323,811.5294, ,1210.8302,815.0566, ,1330.3125,887.65625, ,363.12903,924.4194, ,659.7712,931.3051, ,519.369,936.0238, ,1193.9674,953.1413, ,979.4681,985.94684, ,1043.34,985.9, ,503.5909,982.5227, ,442.29166,996.9167, ,842.3511,238.15958, ,628.6818,993.2727, ,912.83,581.34, ,1111.0634,795.06335, ,690.9375,80.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,533.087,27.173914, ,895.5606,6.8333335, ,663.1512,43.2907, ,452.1316,99.0329, ,558.13043,119.152176, ,1063.49,142.36, ,1064.6544,216.60068, ,345.125,226.59375, ,566.0154,290.40768, ,1092.3235,299.89215, ,1257.5,329.03845, ,435.48276,369.8362, ,1012.54,381.06, ,1214.3829,402.33783, ,459.03192,437.32977, ,1121.7239,475.6791, ,271.32144,468.9762, ,622.46875,510.4375, ,1345.4302,511.96512, ,765.1389,508.79166, ,865.28723,540.4787, ,378.4375,614.3333, ,1037.5317,670.24603, ,312.53333,671.76666, ,475.19812,652.0472, ,654.2344,671.5781, ,1103.7267,768.20667, ,661.9753,790.7037, ,739.56665,811.0333, ,1209.1514,816.63763, ,1330.4474,891.3246, ,359.3163,923.3571,*,664.9231,931.4769, ,520.9,932.7, ,1197.6023,952.9659, ,979.1629,979.17975, ,1046.674,988.13043, ,501.05554,975.56665, ,449.0909,993.7273, ,844.0143,239.9, ,627.7222,990.2407, ,909.0,579.8472, ,1109.1428,794.9429, ,689.119,72.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,537.6556,31.055555, ,891.4756,5.792683, ,667.2826,42.465218, ,450.759,100.44964, ,554.32,119.66, ,1064.2971,141.6884, ,1064.038,216.82414, ,348.19135,226.91975, ,569.8675,288.54272, ,1091.6694,305.00848, ,1254.8334,335.4074,*,434.21667,370.66666, ,1008.6557,384.2126, ,1216.6807,404.10242, ,453.05554,438.96667, ,1119.5857,470.8, ,272.8625,471.0375, ,629.5484,514.1129, ,1348.0853,508.0122, ,760.5411,507.91095, ,865.8214,541.5268, ,373.90817,610.82654, ,1038.0161,668.8441, ,316.07693,665.4231, ,474.27194,655.1667, ,653.709,670.6194, ,1108.0575,769.93365, ,665.66455,790.51263, ,736.5847,818.44916, ,1209.2196,813.3318, ,1329.8636,889.3571, ,356.8721,924.22095,*,664.38635,931.01514, ,521.0294,934.00586, ,1197.3182,954.2955, ,980.7059,978.875, ,1044.2234,984.56384, ,503.20212,976.05316, ,451.125,988.875, ,845.1429,242.19643, ,625.8214,993.4643, ,912.42615,584.2383, ,1113.8334,802.78986, ,690.6892,73.36487, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,535.9186,37.034885, ,888.375,2.875, ,661.70776,44.344154, ,452.18588,100.14744, ,557.02,120.34, ,1066.6068,140.09541, ,1064.1428,217.50714, ,349.0,222.92683, ,573.45276,288.75986, ,1092.4623,303.63208, ,1254.9242,335.10605, ,429.31033,370.2931, ,1005.75,385.92188, ,1215.8647,404.38235, ,449.89536,438.84885, ,1122.7727,473.16666, ,277.92856,469.4643, ,624.35297,508.27942, ,1344.9872,506.60257, ,763.2432,502.47296, ,862.9908,539.59204, ,375.9717,611.8585, ,1040.0264,672.1917, ,318.83334,667.36664, ,478.89343,662.61475, ,649.3806,670.7687, ,1108.5159,768.7381, ,670.45746,789.7837, ,733.0781,815.9375, ,1206.3983,811.0085, ,1332.1438,893.03424, ,353.125,922.4,*,667.13116,932.63116, ,527.0,932.35, ,1199.523,953.2012, ,977.7328,978.62067, ,1042.0454,985.55457, ,504.26596,971.05316, ,449.94827,993.2931, ,840.4016,248.51639, ,616.0417,994.0, ,916.3538,582.4649, ,1121.5,802.80884, ,687.7069,78.77586, ,436.92624,263.4508, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,534.6111,37.61111, ,889.52704,3.1216216, ,660.47644,44.182354, ,451.83542,100.68012, ,554.598,121.59804, ,1069.5568,137.25177, ,1063.9893,217.19064, ,348.55682,222.14772, ,570.2815,288.7353, ,1092.5186,301.57407, ,1251.4259,336.57407, ,427.6062,369.3938, ,1006.2677,388.10605, ,1220.4359,407.08975, ,448.09525,439.0476, ,1123.8135,477.3209, ,275.69565,470.5,*,627.3571,507.16666, ,1345.5212,511.5851, ,765.4452,501.5137, ,860.22296,543.38513, ,375.59805,614.8333, ,1042.1034,675.3276, ,324.06668,665.76666, ,477.9,659.86365, ,651.5294,669.7353, ,1107.972,769.6615, ,667.4416,790.38324, ,739.28687,816.71313, ,1204.9246,812.9151, ,1330.1923,885.53076, ,354.9889,921.5333, ,666.60187,935.9537, ,527.3958,927.625, ,1198.5264,950.5526, ,980.72644,976.76416, ,1045.5416,987.7917, ,502.7157,967.67645, ,454.98,989.14, ,839.7344,245.03125, ,616.03845,998.3461, ,913.28735,585.3333, ,1118.8881,799.0224, ,686.5,75.5, ,443.80188,270.04718, ,953.0405,389.63513, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,539.3261,35.02174, ,892.63513,7.9864864, ,660.0942,46.731884, ,453.99725,100.5, ,554.12744,123.40196, ,1069.8175,137.9127, ,1064.6793,217.2931, ,349.93332,224.92223, ,572.4773,292.69318, ,1088.8334,297.66666, ,1258.4387,336.19388, ,430.39432,369.18292, ,1011.86084,387.0464, ,1219.4783,405.90216, ,450.56668,438.65555, ,1121.7639,476.45834, ,274.6875,468.5625, ,626.2273,505.9394, ,1346.4269,513.5, ,766.3,500.52667, ,862.17096,543.85486, ,377.88776,611.33673, ,1039.5416,673.4, ,323.82144,667.9286, ,474.4123,661.3772, ,646.119,665.3571, ,1104.7644,766.092, ,666.4536,791.50665, ,742.53076,809.83844, ,1201.7314,811.12964, ,1332.0084,889.0593, ,351.17044,921.8409, ,664.0091,936.2364, ,528.3554,923.3554, ,1201.07,948.57526, ,980.1149,975.5345, ,1050.7858,987.7619, ,503.08823,973.0098, ,450.9643,989.6429, ,837.4355,245.53226, ,617.80304,1003.92426, ,912.9545,590.01514, ,1115.2391,800.00726, ,688.18964,76.24138, ,440.22342,269.56384, ,950.61426,391.58572, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,542.88635,34.409092, ,894.52704,8.121622, ,651.4796,43.091835, ,450.9,95.58889, ,553.2647,122.088234, ,1070.5289,135.08696, ,1063.9963,217.14963, ,350.41464,227.32927, ,573.20874,289.2767, ,1088.5,302.5, ,1259.8334,333.99277, ,425.71213,366.08585, ,1003.5357,387.60715, ,1222.8551,402.1542, ,452.5,433.8256, ,1122.7742,473.74194, ,272.65463,473.5309,*,623.4559,500.67648, ,1347.4535,514.01166, ,764.3148,501.01852, ,858.0985,541.4708, ,374.37756,612.39795, ,1037.9419,671.0814, ,324.60257,668.29486, ,474.7414,667.7759, ,647.15576,666.23773, ,1103.387,763.0298, ,666.059,791.7857, ,737.94446,803.4524, ,1203.8,815.3444, ,1333.6765,888.17645, ,350.93182,921.2273, ,663.38574,935.1, ,534.7439,923.37805, ,1199.6177,951.3823, ,978.29834,973.70166, ,1049.1316,989.7105, ,502.22916,972.2083, ,450.62122,990.6818, ,836.4655,247.43103, ,621.0484,1007.4677, ,909.3077,592.0769,*,1118.2838,797.7838, ,689.59753,74.01219, ,437.66278,266.8256, ,945.7875,395.8875, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,541.6778,32.9, ,896.46295,9.092592, ,647.6579,43.842106, ,451.32144,93.125, ,551.25,127.11539, ,1073.3295,136.39148, ,1064.1058,217.20073, ,349.18182,225.63637, ,572.0,285.2143, ,1086.1552,303.2586, ,1264.2473,327.96317, ,428.99124,364.0702, ,996.06793,387.4466, ,1226.3527,404.01578, ,452.7143,437.90475, ,1119.616,472.74637, ,268.15625,477.1875, ,627.76416,501.3302, ,1351.5,517.5, ,758.99365,497.03165, ,860.85077,546.08954, ,374.76666,612.92224, ,1033.6022,668.4562, ,325.1579,669.1579, ,471.68967,671.4655, ,647.8594,666.375, ,1104.15,768.55, ,665.9383,791.28394, ,740.3644,797.97455, ,1203.684,813.76434, ,1335.4286,892.1, ,350.14706,924.0647, ,667.9595,934.63513, ,536.74445,927.92224, ,1199.4333,958.0333, ,979.9786,968.7714, ,1053.4722,986.5, ,504.52,975.16, ,451.15,989.825, ,839.81146,253.58197, ,623.42,1003.7, ,910.0608,588.77026,*,1121.2428,801.6286, ,691.9872,74.65385, ,435.8684,263.44736, ,942.76154,393.8846, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,544.45557,37.9, ,898.9839,6.112903, ,646.38605,42.22152, ,450.62924,98.02381, ,555.625,123.145836, ,1070.6743,136.5734, ,1063.8971,217.49265, ,349.56946,222.23611, ,569.73254,289.31396,*,1086.52,306.98, ,1265.5845,330.47183, ,433.75226,363.37387, ,996.9315,385.61203, ,1228.0222,408.3889, ,451.66278,441.59302, ,1119.3923,466.9923, ,273.79593,477.79593, ,629.0714,496.4643, ,1348.225,520.575, ,762.1548,500.6905, ,857.6608,545.2832, ,380.30487,616.59753, ,1031.7734,669.5072, ,324.40625,673.21875, ,470.67242,667.6724, ,642.99255,664.52985, ,1101.1293,771.6573, ,669.20416,795.9793, ,745.0294,797.60297, ,1203.4604,819.98517, ,1339.9073,894.80865, ,344.40125,921.7716, ,663.6171,933.0045, ,538.6556,923.6222, ,1193.7222,961.55554, ,979.86206,968.1839, ,1054.05,981.675, ,500.98077,980.21155, ,445.5,988.59753, ,839.02545,249.34746, ,625.9783,1004.06525, ,911.4594,589.7538, ,1119.8158,804.3158, ,694.5122,74.29269, ,439.12222,262.9222, ,944.63794,387.2155, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,540.4783,43.97826, ,903.4697,6.0757575, ,644.402,41.5, ,451.1054,97.056755, ,561.61365,122.25, ,1068.5863,132.96762, ,1064.3986,217.03622, ,353.5,223.30821, ,567.33905,285.39655, ,1088.3727,303.9909, ,1265.6,329.7143, ,433.425,364.21667, ,995.0952,382.98096, ,1226.8564,407.4604, ,448.54877,443.2561, ,1114.8182,465.92426, ,275.3,475.48096, ,631.2826,497.71738, ,1348.7894,520.4737, ,763.3049,500.57318, ,858.39514,549.1613, ,377.63635,613.7955, ,1030.789,672.3, ,326.34,676.02, ,467.18332,672.6667, ,643.07355,665.85297, ,1101.2665,769.8285, ,670.2988,792.65515, ,746.3,800.5, ,1201.5491,818.9314, ,1338.4529,898.65295, ,343.19864,924.4178, ,664.6724,936.40515, ,539.6062,917.0221, ,1198.1052,961.6711, ,977.6105,964.8605, ,1059.3889,978.6111, ,502.4608,975.402, ,444.14865,985.9054, ,832.0085,251.80508, ,624.3571,1004.1429, ,915.1681,588.1936, ,1114.9714,802.8, ,691.93335,75.58889, ,434.9186,266.89536, ,945.1462,393.46155, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
