Time,IR,Red,Green,Blue
3.48,408101,355771,524287,415060
3.5,408226,355874,524287,415154
3.52,408353,355928,524287,415274
3.54,408443,355952,524287,415408
3.56,408578,356043,524287,415575
3.58,408765,356042,524287,415679
3.6,408811,356091,524287,415846
3.62,408895,356120,524287,416086
3.64,409097,356263,524287,416331
3.66,409215,356327,524287,416533
3.68,409236,356341,524287,416725
3.7,409299,356328,524287,416928
3.72,409329,356375,524287,417093
3.74,409393,356417,524287,417253
3.76,409484,356443,524287,417445
3.78,409567,356487,524287,417623
3.8,409689,356528,524287,417831
3.82,409818,356546,524287,418029
3.84,409914,356614,524287,418211
3.86,409813,356544,524287,418398
3.88,409468,356309,524287,418425
3.9,408981,356033,524287,418308
3.92,408460,355677,524287,417966
3.94,408039,355491,524287,417504
3.96,407690,355297,524287,417088
3.98,407529,355236,524287,416712
4,407463,355211,524287,416460
4.02,407471,355236,524287,416272
4.04,407571,355257,524287,416177
4.06,407647,355304,524287,416126
4.08,407703,355360,524287,416177
4.1,407858,355392,524287,416203
4.12,407953,355455,524287,416265
4.14,407988,355458,524287,416357
4.16,407911,355437,524287,416365
4.18,407785,355362,524287,416396
4.2,407721,355232,524287,416342
4.22,407633,355273,524287,416325
4.24,407650,355269,524287,416333
4.26,407689,355284,524287,416339
4.28,407669,355293,524287,416448
4.3,407796,355366,524287,416508
4.32,407977,355400,524287,416659
4.34,408188,355526,524287,416849
4.36,408300,355628,524287,417086
4.38,408493,355668,524287,417243
4.4,408609,355764,524287,417530
4.42,408682,355799,524287,417654
4.44,408778,355817,524287,417888
4.46,408846,355882,524287,418112
4.48,408991,355957,524287,418352
4.5,409212,356044,524287,418578
4.52,409314,356108,524287,418811
4.54,409438,356137,524287,419032
4.56,409537,356165,524287,419278
4.58,409689,356234,524287,419531
4.6,409854,356324,524287,419770
4.62,410032,356387,524287,420041
4.64,410244,356481,524287,420267
4.66,410363,356574,524287,420572
4.68,410406,356549,524287,420775
4.7,410101,356414,524287,420928
4.72,409492,356004,524287,420882
4.74,408897,355695,524287,420660
4.76,408310,355325,524287,420258
4.78,407886,355130,524287,419806
4.8,407647,354986,524287,419374
4.82,407594,354977,524287,419090
4.84,407642,355037,524287,418935
4.86,407731,355068,524287,418873
4.88,407831,355102,524287,418903
4.9,408000,355191,524287,419000
4.92,408144,355345,524287,419168
4.94,408256,355392,524287,419351
4.96,408342,355407,524287,419551
4.98,408390,355426,524287,419634
5,408288,355355,524287,419680
5.02,408298,355249,524287,419727
5.04,408148,355222,524287,419786
5.06,408073,355226,524287,419819
5.08,408120,355210,524287,419938
5.1,408210,355317,524287,420056
5.12,408380,355363,524287,420191
5.14,408643,355454,524287,420369
5.16,408708,355550,524287,420560
5.18,408848,355614,524287,420739
5.2,409051,355718,524287,420984
5.22,409249,355770,524287,421254
5.24,409375,355850,524287,421446
5.26,409561,355928,524287,421695
5.28,409709,356043,524287,421957
5.3,409818,356119,524287,422214
5.32,409905,356108,524287,422416
5.34,410001,356161,524287,422693
5.36,410160,356214,524287,422899
5.38,410273,356250,524287,423096
5.4,410480,356391,524287,423372
5.42,410615,356449,524287,423576
5.44,410720,356495,524287,423816
5.46,410865,356535,524287,424069
5.48,410844,356472,524287,424258
5.5,410544,356310,524287,424394
5.52,409840,355894,524287,424321
5.54,409225,355558,524287,424063
5.56,408698,355321,524287,423734
5.58,408384,355093,524287,423409
5.6,408289,355007,524287,423119
5.62,408219,354991,524287,422894
5.64,408269,355064,524287,422770
5.66,408362,355103,524287,422730
5.68,408435,355159,524287,422702
5.7,408663,355300,524287,422809
5.72,408852,355366,524287,422951
5.74,409029,355459,524287,423089
5.76,409077,355452,524287,423235
5.78,409053,355448,524287,423334
5.8,408933,355385,524287,423417
5.82,408865,355295,524287,423380
5.84,408786,355248,524287,423427
5.86,408713,355213,524287,423443
5.88,408750,355207,524287,423474
5.9,408810,355309,524287,423533
5.92,408959,355306,524287,423654
5.94,409091,355365,524287,423752
5.96,409202,355446,524287,423877
5.98,409374,355510,524287,424064
6,409511,355617,524287,424174
6.02,409659,355710,524287,424413
6.04,409847,355765,524287,424599
6.06,409970,355836,524287,424860
6.08,410054,355902,524287,425018
6.1,410159,355914,524287,425218
6.12,410283,355982,524287,425413
6.14,410367,356034,524287,425619
6.16,410531,356099,524287,425838
6.18,410626,356147,524287,425993
6.2,410699,356167,524287,426217
6.22,410757,356135,524287,426360
6.24,410490,356028,524287,426440
6.26,409938,355672,524287,426356
6.28,409350,355324,524287,426180
6.3,408854,354995,524287,425818
6.32,408477,354851,524287,425454
6.34,408184,354741,524287,425037
6.36,408125,354708,524287,424751
6.38,408126,354714,524287,424506
6.4,408147,354710,524287,424455
6.42,408273,354793,524287,424435
6.44,408446,354910,524287,424502
6.46,408644,355019,524287,424650
6.48,408833,355109,524287,424750
6.5,408964,355129,524287,424917
6.52,408906,355101,524287,425036
6.54,408816,355039,524287,425101
6.56,408646,354982,524287,425102
6.58,408601,354935,524287,425138
6.6,408538,354906,524287,425123
6.62,408525,354876,524287,425158
6.64,408620,354979,524287,425220
6.66,408713,354999,524287,425332
6.68,408786,355040,524287,425442
6.7,408952,355116,524287,425564
6.72,409092,355178,524287,425732
6.74,409224,355255,524287,425942
6.76,409377,355302,524287,426071
6.78,409569,355436,524287,426296
6.8,409666,355474,524287,426473
6.82,409758,355514,524287,426702
6.84,409837,355583,524287,426870
6.86,409947,355613,524287,427017
6.88,410011,355639,524287,427254
6.9,410140,355693,524287,427419
6.92,410206,355738,524287,427619
6.94,410284,355779,524287,427809
6.96,410383,355807,524287,427934
6.98,410226,355733,524287,428146
7,409735,355476,524287,428079
7.02,409183,355097,524287,427948
7.04,408592,354752,524287,427621
7.06,408166,354599,524287,427170
7.08,407925,354441,524287,426732
7.1,407778,354382,524287,426423
7.12,407807,354419,524287,426151
7.14,407936,354468,524287,426072
7.16,407972,354529,524287,426072
7.18,408202,354680,524287,426139
7.2,408406,354752,524287,426206
7.22,408573,354860,524287,426384
7.24,408759,354937,524287,426566
7.26,408804,354934,524287,426741
7.28,408713,354932,524287,426784
7.3,408593,354819,524287,426805
7.32,408480,354795,524287,426856
7.34,408328,354706,524287,426894
7.36,408343,354745,524287,426881
7.38,408437,354756,524287,426933
7.4,408566,354767,524287,427019
7.42,408694,354904,524287,427201
7.44,408911,354977,524287,427330
7.46,409016,355065,524287,427446
7.48,409226,355152,524287,427655
7.5,409384,355248,524287,427832
7.52,409482,355316,524287,428021
7.54,409577,355360,524287,428241
7.56,409752,355401,524287,428451
7.58,409881,355478,524287,428688
7.6,409971,355538,524287,428827
7.62,410014,355548,524287,428983
7.64,410144,355575,524287,429198
7.66,410266,355663,524287,429338
7.68,410282,355685,524287,429527
7.7,410305,355661,524287,429671
7.72,410364,355752,524287,429865
7.74,410455,355712,524287,429989
7.76,410227,355592,524287,430050
7.78,409650,355261,524287,429958
7.8,408896,354874,524287,429728
7.82,408318,354566,524287,429278
7.84,407785,354284,524287,428633
7.86,407448,354121,524287,427949
7.88,407239,354023,524287,427448
7.9,407107,354021,524287,427040
7.92,407131,354025,524287,426793
7.94,407111,354077,524287,426598
7.96,407265,354096,524287,426546
7.98,407422,354246,524287,426536
8,407567,354272,524287,426619
8.02,407635,354326,524287,426643
8.04,407555,354295,524287,426680
8.06,407370,354155,524287,426628
8.08,407217,354129,524287,426529
8.1,407068,354042,524287,426353
8.12,406943,353947,524287,426253
8.14,406983,354022,524287,426170
8.16,407014,353944,524287,426099
8.18,407038,354001,524287,426068
8.2,407147,354084,524287,426097
8.22,407318,354156,524287,426157
8.24,407392,354174,524287,426308
8.26,407497,354281,524287,426421
8.28,407619,354331,524287,426563
8.3,407714,354335,524287,426689
8.32,407827,354451,524287,426962
8.34,407901,354472,524287,427038
8.36,407906,354462,524287,427092
8.38,407973,354530,524287,427291
8.4,408050,354525,524287,427406
8.42,408141,354603,524287,427537
8.44,408220,354619,524287,427719
8.46,408323,354714,524287,427899
8.48,408461,354740,524287,428017
8.5,408564,354800,524287,428220
8.52,408560,354718,524287,428362
8.54,408298,354600,524287,428386
8.56,407764,354307,524287,428203
8.58,407191,353966,524287,427830
8.6,406632,353670,524287,427191
8.62,406223,353527,524287,426517
8.64,405926,353362,524287,425878
8.66,405745,353343,524287,425459
8.68,405729,353353,524287,425135
8.7,405545,353326,524287,424882
8.72,405622,353425,524287,424816
8.74,405754,353440,524287,424849
